episode,reward,episode_length,epsilon,loss
0,50.0,168,0.9922931652094688,0.4016784429550171
1,0.0,150,0.9854622671079284,0.24117517471313477
2,0.0,133,0.9794448792665313,1.6298904418945312
3,0.0,115,0.9742715034065327,0.20367789268493652
4,0.0,162,0.9670301172728718,0.13686423003673553
5,100.0,175,0.9592680945759312,0.2443801909685135
6,50.0,136,0.9532789430273665,0.8207891583442688
7,50.0,245,0.9425838621704916,2.246208667755127
8,100.0,150,0.9360951605041007,0.47608739137649536
9,150.0,202,0.9274275653176943,0.17513316869735718
10,0.0,170,0.9201952772713375,0.4679650366306305
11,100.0,156,0.9136082233792095,0.5934220552444458
12,100.0,155,0.9071100947401728,0.7801669239997864
13,0.0,115,0.9023187873722643,1.0085443258285522
14,0.0,150,0.8961072685311119,1.599121332168579
15,0.0,116,0.8913330291590895,0.660722017288208
16,0.0,176,0.8841378843172397,0.5877735018730164
17,0.0,118,0.8793464203554406,0.8320331573486328
18,100.0,166,0.8726498130869104,3.080782175064087
19,0.0,116,0.8680005492744911,2.9649276733398438
20,0.0,151,0.8619855787057585,3.4344773292541504
21,0.0,118,0.8573141661249611,2.124652147293091
22,0.0,128,0.8522754918677646,2.3208017349243164
23,50.0,153,0.8462915410756289,1.1795421838760376
24,0.0,163,0.8399626982774332,2.707031726837158
25,50.0,135,0.8347568662342464,2.290290117263794
26,0.0,113,0.8304242061523156,2.128674030303955
27,50.0,122,0.8257717093186917,2.284292221069336
28,50.0,124,0.8210696515596295,1.1219608783721924
29,100.0,184,0.8141417005707747,3.081683397293091
30,50.0,131,0.8092449538789062,1.0628002882003784
31,0.0,117,0.8048964278752732,2.182145833969116
32,50.0,117,0.8005712689353625,3.424424171447754
33,0.0,146,0.7952066440708725,1.1851141452789307
34,0.0,104,0.7914072053994851,0.87766432762146
35,0.0,103,0.7876621925149774,1.4205451011657715
36,0.0,120,0.7833214154374524,1.9735422134399414
37,0.0,120,0.779004560221121,6.646853923797607
38,100.0,163,0.7731789113029587,6.647834777832031
39,50.0,115,0.7690950213364399,5.785699844360352
40,0.0,150,0.763800608449859,7.635986328125
41,0.0,119,0.7596263129545539,11.445316314697266
42,50.0,125,0.7552661140948065,10.232025146484375
43,50.0,160,0.7497215596874705,8.043673515319824
44,100.0,177,0.743635304565796,12.24970817565918
45,0.0,103,0.7401163527822222,7.449857711791992
46,50.0,117,0.7361392934377544,8.59872817993164
47,0.0,113,0.732318490686162,6.938554763793945
48,0.0,166,0.7267415653537931,7.019615173339844
49,0.0,119,0.7227698036021702,5.007782459259033
50,0.0,118,0.7188528518143723,10.7169189453125
51,150.0,194,0.712459201812767,5.101985454559326
52,100.0,111,0.708826588786248,10.689014434814453
53,100.0,149,0.7039794795777238,10.886850357055664
54,0.0,146,0.6992621159065847,12.047016143798828
55,0.0,128,0.6951523575919908,8.455202102661133
56,0.0,119,0.6913532360375628,22.564056396484375
57,50.0,121,0.6875115522347824,6.336440086364746
58,0.0,99,0.6843842399195382,19.783447265625
59,50.0,123,0.6805186001876663,13.316484451293945
60,100.0,126,0.676581315310491,16.032855987548828
61,0.0,120,0.672852700820053,8.399702072143555
62,0.0,120,0.6691446345855359,20.201494216918945
63,0.0,119,0.6654876494994323,26.445362091064453
64,0.0,124,0.6616982712359525,33.91402053833008
65,50.0,159,0.6568708657584529,34.53083038330078
66,0.0,105,0.6537022804330889,18.26270866394043
67,50.0,125,0.6499500776866194,24.06377410888672
68,0.0,101,0.6469340352379868,21.104881286621094
69,0.0,148,0.6425397500373016,29.34624481201172
70,0.0,121,0.6389693110465066,18.17460060119629
71,0.0,152,0.6345122338209384,19.73214340209961
72,50.0,119,0.6310445204805023,13.538414001464844
73,50.0,197,0.6253454582417698,25.498882293701172
74,100.0,171,0.6204403011913815,31.318113327026367
75,0.0,129,0.6167653968965063,28.407787322998047
76,50.0,155,0.6123785921517808,11.856403350830078
77,0.0,188,0.6070996744671294,30.02710723876953
78,0.0,131,0.6034482052935234,23.02536964416504
79,0.0,151,0.5992664991901933,29.50455093383789
