episode,reward,episode_length,epsilon,loss
0,50.0,168,0.9922931652094688,0.4177119731903076
1,0.0,150,0.9854622671079284,0.23798732459545135
2,0.0,133,0.9794448792665313,1.6607362031936646
3,0.0,115,0.9742715034065327,0.13858482241630554
4,0.0,162,0.9670301172728718,0.11754518747329712
5,100.0,175,0.9592680945759312,0.140525221824646
6,50.0,136,0.9532789430273665,0.503311038017273
7,50.0,245,0.9425838621704916,1.9183731079101562
8,100.0,150,0.9360951605041007,0.21455860137939453
9,150.0,202,0.9274275653176943,0.19739630818367004
10,0.0,170,0.9201952772713375,0.28100883960723877
11,100.0,156,0.9136082233792095,0.20141573250293732
12,100.0,155,0.9071100947401728,0.22860339283943176
13,0.0,115,0.9023187873722643,0.3435208797454834
14,0.0,150,0.8961072685311119,0.39329397678375244
15,0.0,116,0.8913330291590895,0.1737484633922577
16,0.0,176,0.8841378843172397,0.1846674680709839
17,0.0,118,0.8793464203554406,0.1656550168991089
18,100.0,166,0.8726498130869104,1.8670483827590942
19,0.0,116,0.8680005492744911,1.862626552581787
20,0.0,151,0.8619855787057585,0.73091721534729
21,0.0,118,0.8573141661249611,0.5746805667877197
22,0.0,128,0.8522754918677646,0.557381272315979
23,50.0,153,0.8462915410756289,0.5520888566970825
24,0.0,163,0.8399626982774332,0.6058569550514221
25,50.0,135,0.8347568662342464,0.5624218583106995
26,0.0,113,0.8304242061523156,0.5640369057655334
27,50.0,122,0.8257717093186917,0.3882330358028412
28,50.0,124,0.8210696515596295,0.5900973081588745
29,100.0,184,0.8141417005707747,0.6137565970420837
30,50.0,131,0.8092449538789062,0.5857753753662109
31,0.0,117,0.8048964278752732,0.973009467124939
32,50.0,117,0.8005712689353625,2.38316011428833
33,0.0,146,0.7952066440708725,1.1357460021972656
34,0.0,104,0.7914072053994851,0.9018490314483643
35,0.0,103,0.7876621925149774,1.406564712524414
36,0.0,120,0.7833214154374524,0.5945780873298645
37,0.0,120,0.779004560221121,1.1916697025299072
38,100.0,163,0.7731789113029587,1.0488077402114868
39,50.0,115,0.7690950213364399,0.4543936848640442
40,0.0,150,0.763800608449859,0.8863064646720886
41,0.0,119,0.7596263129545539,2.1073076725006104
42,50.0,125,0.7552661140948065,2.158536911010742
43,50.0,160,0.7497215596874705,1.1395882368087769
44,100.0,177,0.743635304565796,2.4262924194335938
45,0.0,103,0.7401163527822222,0.9005684852600098
46,50.0,117,0.7361392934377544,1.6036462783813477
47,0.0,113,0.732318490686162,0.9553734064102173
48,0.0,166,0.7267415653537931,1.871225118637085
49,0.0,119,0.7227698036021702,1.6059496402740479
50,0.0,118,0.7188528518143723,2.328198194503784
51,150.0,194,0.712459201812767,1.003114104270935
52,100.0,111,0.708826588786248,1.9691487550735474
53,100.0,149,0.7039794795777238,1.2580066919326782
54,0.0,146,0.6992621159065847,3.437382936477661
55,0.0,128,0.6951523575919908,2.0418174266815186
56,0.0,119,0.6913532360375628,6.1731696128845215
57,50.0,121,0.6875115522347824,2.23423433303833
58,0.0,99,0.6843842399195382,5.650068283081055
59,50.0,123,0.6805186001876663,4.143510818481445
60,100.0,126,0.676581315310491,2.6983957290649414
61,0.0,120,0.672852700820053,2.875316619873047
62,0.0,120,0.6691446345855359,4.591038703918457
63,0.0,119,0.6654876494994323,5.715776443481445
64,0.0,124,0.6616982712359525,9.598519325256348
65,50.0,159,0.6568708657584529,7.154353141784668
66,0.0,105,0.6537022804330889,4.148558616638184
67,50.0,125,0.6499500776866194,7.336627006530762
68,0.0,101,0.6469340352379868,9.240873336791992
69,0.0,148,0.6425397500373016,11.520744323730469
